base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px
DSC_0254_segment_1_segmented_smoothed,0.48934539658071213,0.3239293717260745,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0254_segment_1_segmented_smoothed__fused_INNER_mu0p134637708130875_b0p07307731751321928_e64__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0254_segment_1_segmented_smoothed_mask.png,661201,252207
DSC_0256_segment_1_segmented_smoothed,0.6649497786451818,0.4980709849030145,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0256_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p012385380597104194_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0256_segment_1_segmented_smoothed_mask.png,115426,94644
DSC_0256_segment_1_segmented_smoothed__1,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0256_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p0986694605663345_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0256_segment_1_segmented_smoothed__1_mask.png,0,694253
DSC_0257_segment_1_segmented_smoothed,0.7409377537728298,0.5884838148336821,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0257_segment_1_segmented_smoothed__fused_INNER_mu0p20947895937303856_b0p03818030947254144_e71__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0257_segment_1_segmented_smoothed_mask.png,88758,94723
DSC_0257_segment_1_segmented_smoothed__1,0.7999483738405067,0.6665949667520298,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0257_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p05928470987628438_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0257_segment_1_segmented_smoothed__1_mask.png,1912168,1961837
DSC_0258_segment_1_segmented_smoothed,0.11470011709373873,0.060839189634343024,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0258_segment_1_segmented_smoothed__fused_INNER_mu0p11521161737940236_b0p13783984880611977_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0258_segment_1_segmented_smoothed_mask.png,16078,138499
DSC_0260_segment_1_segmented_smoothed,0.39101318821863834,0.2430182679904846,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0260_segment_1_segmented_smoothed__fused_INNER_mu0p07595639729046942_b0p2170257473646701_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0260_segment_1_segmented_smoothed_mask.png,62145,20732
DSC_0260_segment_1_segmented_smoothed__1,0.6842885388012515,0.5200901253666926,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0260_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p13253738741923488_e79__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0260_segment_1_segmented_smoothed__1_mask.png,963051,1404991
DSC_0261_segment_1_segmented_smoothed,0.6515572346052113,0.48319235441517044,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0261_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p132515156578014_e72__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0261_segment_1_segmented_smoothed_mask.png,1155923,1821952
DSC_0262_segment_1_segmented_smoothed,0.4890122600046207,0.32363747703612483,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0262_segment_1_segmented_smoothed__fused_INNER_mu0p19278986489131267_b0p07213216317612337_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0262_segment_1_segmented_smoothed_mask.png,603361,256916
DSC_0263_segment_1_segmented_smoothed,0.596184344822078,0.42468848571610823,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0263_segment_1_segmented_smoothed__fused_INNER_mu0p13135016457413512_b0p05822310765234984_e69__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0263_segment_1_segmented_smoothed_mask.png,37740,25945
DSC_0264_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0264_segment_1_segmented_smoothed__fused_INNER_mu0p07581342568451246_b0p19312834562502343_e37__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0264_segment_1_segmented_smoothed_mask.png,0,309684
DSC_0265_segment_1_segmented_smoothed,0.7350573486647932,0.5810993469853399,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0265_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p06092923457027638_e68__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0265_segment_1_segmented_smoothed_mask.png,298712,324755
