filename,energy_threshold,beta,mu,diffusion_rate,alpha,gamma,score,area_px,area_frac,lesion_count,contrast
DSC_0018_segment_1_segmented_smoothed.tif,80.0,0.0170672963413572,0.05,0.2029221481112489,0.044030041724041,0.3325884305567518,15.868462340724651,530138,0.1014424033677765,128,87.49787300489055
DSC_0024_segment_1_segmented_smoothed.tif,79.0,0.0407750065846215,0.05,0.35,0.0260386403651515,0.4394466936758086,14.303289515578054,948339,0.17972198533174144,160,82.87347670337132
DSC_0034_segment_1_segmented_smoothed.tif,80.0,0.0916177292635042,0.05,0.2166415683808368,0.0193417651834657,0.2697398154768418,13.629852642420014,203838,0.03874436904829789,110,101.94102247541761
DSC_0036_segment_1_segmented_smoothed.tif,78.0,0.25,0.1590260030077793,0.1538629545213793,0.0193877439090448,0.2775075052090592,15.125279571902682,114087,0.021685008838455835,53,105.8988880328908
DSC_0037_segment_1_segmented_smoothed.tif,67.0,0.0460578052918546,0.05,0.2024679939095181,0.0043132364496959,0.1965209944670116,17.55816599669229,517156,0.09750301659125188,146,94.56207643455704
DSC_0040_segment_1_segmented_smoothed.tif,73.0,0.0569255198684751,0.05,0.3456751301866927,0.0194670244685731,0.2874132626633117,12.893525968972366,1152521,0.21890237416904085,112,98.90249342789227
DSC_0044_segment_1_segmented_smoothed.tif,72.0,0.01,0.2847156791014477,0.228021237767797,0.0183733971077895,0.2423834204640217,17.487761025438942,694039,0.13231131446001335,108,89.99317140795401
DSC_0050_segment_1_segmented_smoothed.tif,80.0,0.2215584077236231,0.05,0.2034670893584236,0.0174609135006376,0.3278654580892082,15.223401356823585,138055,0.026143809415596714,126,93.66169217331255
DSC_0057_segment_1_segmented_smoothed.tif,60.0,0.218542773088549,0.0683135597941761,0.2229410220767093,0.0436745618044419,0.283425456533158,13.474513243215574,1171336,0.22944428120898708,138,87.53821040940628
DSC_0059_segment_1_segmented_smoothed.tif,54.0,0.0591028457200101,0.5125060148814815,0.0890595789973671,0.05,0.1,16.100492700629573,632416,0.12284693084693085,107,88.46492901505206
DSC_0060_segment_1_segmented_smoothed.tif,74.0,0.2396922021757218,0.05,0.1202921634923295,0.0276530546456725,0.3277577229835687,14.820567546870752,880612,0.17067116305211544,235,73.7611777541926
DSC_0064_segment_1_segmented_smoothed.tif,80.0,0.1589525734203885,0.05,0.2712357788314152,0.0329526984281487,0.2243827314553038,16.04838445386953,596939,0.11508367071524966,170,95.33345710130511
DSC_0068_segment_1_segmented_smoothed.tif,65.0,0.1734100380072853,0.404776107953811,0.0923390453269386,0.0082456172598099,0.1,16.899247169705163,569044,0.11223747534516765,76,84.40456909774348
DSC_0069_segment_1_segmented_smoothed.tif,60.0,0.01,0.0910801325525866,0.3295611891903506,0.05,0.3433444781373335,17.73266686446642,1111832,0.21354691251320465,265,86.39863801420367
DSC_0070_segment_1_segmented_smoothed.tif,77.0,0.25,0.05,0.2286650803223716,0.0120332258379092,0.3106326370021885,13.59242454775487,594506,0.11744024337244677,186,92.21178644985301
DSC_0084_segment_1_segmented_smoothed.tif,73.0,0.25,0.2829917058527584,0.1265056107864184,0.05,0.2795360330614943,13.262434637684166,1018283,0.19661009422304604,91,86.56350672719137
DSC_0089_segment_1_segmented_smoothed.tif,80.0,0.2018143248660878,0.05,0.2326497568160745,0.0407461238950389,0.5784015815789122,14.654371257425762,481864,0.09353131854267357,191,93.41906653566392
DSC_0090_segment_1_segmented_smoothed.tif,56.0,0.1504852542382728,0.0558776273443348,0.301633811953005,0.05,0.3038520643006354,18.411881293323077,591610,0.1316795762108262,693,58.972611741453676
DSC_0091_segment_1_segmented_smoothed.tif,72.0,0.1403812280575659,0.106361998185106,0.2394825139242903,0.0415098198621867,0.1452211324209565,22.65146062046756,162922,0.05850822380234145,216,71.72115464115477
DSC_0092_segment_1_segmented_smoothed.tif,66.0,0.0826690591545372,0.2555282313385257,0.3418977769465365,0.0161649421962161,0.1955403880942575,21.11137547392208,318003,0.08025514839491217,262,61.348372889707406
DSC_0093_segment_1_segmented_smoothed.tif,63.0,0.1077569830276858,0.10237032977914,0.0954499592893129,0.0332036738954687,0.1,20.885170934636644,177773,0.06465648299690853,154,60.4549140768572
DSC_0094_segment_1_segmented_smoothed.tif,79.0,0.024917583616658,0.0550389763167156,0.1512824702329161,0.0174217551986991,0.4854272073118152,14.744510550797257,1229909,0.34541213806274046,623,35.124947536808705
DSC_0096_segment_1_segmented_smoothed.tif,75.0,0.1190466421401567,0.05,0.2616254510022487,0.0464206634765938,0.1005637559257849,31.15048151041553,156352,0.03465017840125878,159,60.18981726174742
DSC_0099_segment_1_segmented_smoothed.tif,63.0,0.042347412386385,0.0556078822461707,0.1785910803835567,0.0029510831163024,0.2968991275562553,17.445401667150964,485738,0.10954107750941525,329,29.611722201629462
