filename,gradient_score,color_score,lesion_count,total_area_px
DSC_0003_segment_1_segmented_smoothed,3.3948638227033836,17.37782729077308,56,249367
DSC_0004_segment_1_segmented_smoothed,5.267074804029433,22.461820768116993,26,46529
DSC_0005_segment_1_segmented_smoothed,3.718611287857427,20.90211717457635,57,241455
DSC_0006_segment_1_segmented_smoothed,6.065057773990891,27.68480020800137,43,115551
DSC_0007_segment_1_segmented_smoothed,4.773438308397123,24.732022627567407,60,173820
DSC_0008_segment_1_segmented_smoothed,5.248106826147445,20.746096590222393,23,19786
DSC_0009_segment_1_segmented_smoothed,4.924006855055564,15.328619834188704,75,181819
DSC_0010_segment_1_segmented_smoothed,5.5546071615665396,28.993979039684614,16,176413
DSC_0011_segment_1_segmented_smoothed,4.469340549154664,20.238287596825078,45,148320
DSC_0012_segment_1_segmented_smoothed,3.7080545614484683,23.396010037135213,53,353863
DSC_0013_segment_1_segmented_smoothed,3.162169915796173,19.88325354145031,45,205494
DSC_0014_segment_1_segmented_smoothed,5.6728510870048865,23.113276609231946,11,40469
DSC_0015_segment_1_segmented_smoothed,5.87427649044121,23.484396398827784,51,248086
DSC_0016_segment_1_segmented_smoothed,8.894470951043973,26.211084370451328,3,4522
DSC_0017_segment_1_segmented_smoothed,10.637432615360366,26.831937406343414,18,21935
DSC_0018_segment_1_segmented_smoothed,4.547037955430553,24.01008510003112,26,101394
DSC_0019_segment_1_segmented_smoothed,4.391794916138401,23.30465636294982,61,384030
DSC_0020_segment_1_segmented_smoothed,4.022880912622458,25.705861672671492,7,88164
DSC_0021_segment_1_segmented_smoothed,2.807899978197002,18.222607891888483,128,395851
DSC_0022_segment_1_segmented_smoothed,3.9843160199738286,27.59229845018124,46,150608
DSC_0023_segment_1_segmented_smoothed,4.458050588135056,21.495597569625723,24,111219
DSC_0024_segment_1_segmented_smoothed,3.006318690717006,21.61597369287622,39,74550
DSC_0025_segment_1_segmented_smoothed,4.333228946413827,25.656539810495843,33,112053
DSC_0026_segment_1_segmented_smoothed,2.388159115563147,20.404750177917727,99,501484
DSC_0027_segment_1_segmented_smoothed,1.7322702190386745,5.281642638130486,93,341718
DSC_0028_segment_1_segmented_smoothed,6.766452102365057,25.801225736005982,23,48307
DSC_0029_segment_1_segmented_smoothed,2.771641315961833,19.346633921224775,23,99804
DSC_0030_segment_1_segmented_smoothed,3.3224591182022527,16.054715402874496,14,252191
DSC_0031_segment_1_segmented_smoothed,3.334618701947466,24.952889610181277,49,234956
DSC_0032_segment_1_segmented_smoothed,3.445124378262091,23.450227469780284,64,427322
DSC_0033_segment_1_segmented_smoothed,2.8144303672939532,23.659598887012198,68,524687
DSC_0034_segment_1_segmented_smoothed,5.630058262523261,28.825032191301652,36,207692
DSC_0035_segment_1_segmented_smoothed,2.901352945979583,21.953390394151157,58,321747
DSC_0036_segment_1_segmented_smoothed,2.861092622474047,4.98446701451301,46,507099
DSC_0037_segment_1_segmented_smoothed,2.396743325925594,16.642248428187216,20,126555
DSC_0038_segment_1_segmented_smoothed,6.6183211862133815,21.98400462887992,32,130203
DSC_0039_segment_1_segmented_smoothed,3.2913436554360147,24.93812418814944,29,447657
DSC_0040_segment_1_segmented_smoothed,3.262220624007068,24.048744541613097,30,187665
DSC_0041_segment_1_segmented_smoothed,3.5126371101444174,24.85271998832754,43,224811
DSC_0042_segment_1_segmented_smoothed,3.539630453444253,20.242150472280887,30,43613
DSC_0043_segment_1_segmented_smoothed,2.7709784018071986,22.34948989557167,63,487373
DSC_0044_segment_1_segmented_smoothed,3.5351139598938284,20.53770493967408,43,552425
DSC_0045_segment_1_segmented_smoothed,3.490889596505771,23.138590815736084,41,338471
DSC_0046_segment_1_segmented_smoothed,4.875959659057218,23.261461825146668,34,103545
DSC_0047_segment_1_segmented_smoothed,0.0,0.0,0,0
DSC_0048_segment_1_segmented_smoothed,5.825577218510437,23.22567887310437,14,23955
DSC_0049_segment_1_segmented_smoothed,3.0081390771738907,26.598281872904433,53,92882
DSC_0050_segment_1_segmented_smoothed,2.5771031699748077,22.070725833751986,36,166056
DSC_0051_segment_1_segmented_smoothed,2.8166766475165295,18.61379133300957,43,276725
DSC_0052_segment_1_segmented_smoothed,3.7150216576246775,19.84566658946283,60,264128
DSC_0053_segment_1_segmented_smoothed,4.735925294375372,24.599125593045752,57,337922
DSC_0054_segment_1_segmented_smoothed,4.506637334710926,18.763336128340246,17,32228
DSC_0055_segment_1_segmented_smoothed,5.155953000781302,22.447707121262763,21,90266
DSC_0056_segment_1_segmented_smoothed,2.7816639762369575,20.898885421704318,46,333447
DSC_0057_segment_1_segmented_smoothed,4.231420470522692,21.30892607480183,43,270237
DSC_0058_segment_1_segmented_smoothed,3.3502907477970214,21.387236872348463,21,113244
DSC_0059_segment_1_segmented_smoothed,3.125467664230318,20.42548775612459,59,384690
DSC_0060_segment_1_segmented_smoothed,4.106143408991663,23.51021343164763,69,167203
DSC_0061_segment_1_segmented_smoothed,2.858105722404165,22.992533142606042,53,223124
DSC_0062_segment_1_segmented_smoothed,4.02235469889978,26.428844490344055,27,253744
DSC_0063_segment_1_segmented_smoothed,2.8721790920986865,21.2122107458401,29,243219
DSC_0064_segment_1_segmented_smoothed,1.9753066633564889,19.66957134952945,78,661255
DSC_0065_segment_1_segmented_smoothed,4.046307906774372,22.849894430602145,61,404194
DSC_0066_segment_1_segmented_smoothed,3.581661147312595,14.288283081838024,50,132289
DSC_0067_segment_1_segmented_smoothed,2.5508384679222726,20.762177476364293,103,364514
DSC_0068_segment_1_segmented_smoothed,3.489155493877942,22.948061082390197,35,200335
DSC_0069_segment_1_segmented_smoothed,2.9681252842518946,22.784069512567726,31,391178
DSC_0070_segment_1_segmented_smoothed,5.133501888987978,25.07225819894137,22,155920
DSC_0071_segment_1_segmented_smoothed,3.3676593159351627,22.071924038186857,34,298773
DSC_0072_segment_1_segmented_smoothed,3.0970002820693345,17.026218919976152,24,105265
DSC_0073_segment_1_segmented_smoothed,3.5334426485985464,19.616004706225826,21,57349
DSC_0074_segment_1_segmented_smoothed,3.5090716329922507,22.59222134276874,60,201907
DSC_0075_segment_1_segmented_smoothed,3.3918088692730586,24.90681500991789,27,90731
DSC_0076_segment_1_segmented_smoothed,3.5741686728077777,24.396952009520728,38,100804
DSC_0077_segment_1_segmented_smoothed,3.3934509856623647,21.90348191617467,61,220131
DSC_0078_segment_1_segmented_smoothed,2.833250469950862,19.818990610306003,68,176662
DSC_0079_segment_1_segmented_smoothed,2.5477407938000436,20.367593109180632,71,380119
DSC_0080_segment_1_segmented_smoothed,2.1100727263438253,19.7104308014884,79,791206
