branch,budget_name,in_domain_mae_vs_full_target,external_mae_vs_full_target,degradation
full,direct,0.09155715372495674,0.12273061657857551,0.031173462853618772
full,large,0.08457725123755033,0.11580320065524706,0.031225949417696727
full,full,0.0837518161557134,0.1362981548689416,0.0525463387132282
patch,direct,0.08600379874895644,0.09319528721811776,0.007191488469161317
patch,large,0.08114756395520037,0.08837228629656263,0.007224722341362261
patch,full,0.08229707811594204,0.0868112697980993,0.004514191682157262
