analysis_item,target_name,mae,rmse,r2,n_valid,n_total,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full_predictions,full_target,0.09155715372495674,0.12310061021531782,-3.558517970212627,88,88,0.11841281238348662,0.1445082907273094,0.08317953371929443,0.1222352417775988,0.15127615642135342,-0.41852502961593285,0.08662148813358085,0.11537762082024364,-0.9716597841007506,0.05178530260460064,0.06533220140653535,-21.374776581740043,0.07965341883447946,0.1044999912558618,-0.9574880771531311,0.0691187822294011,0.10189774741359259,-0.6238045616596812,0.11307303011154977,0.1530539415694199,-0.6465512909381506
full_predictions,patch_target,0.07640420588383884,0.09869837136139158,-13.404213723661428,88,88,0.0721775732682918,0.09190180345770677,-0.44875892723248345,0.07956520672621395,0.09966031519674876,-1.0774757651528648,0.07390200301416189,0.09635251197336586,-3.012038066195524,0.05063991326825382,0.06545150486333429,-82.29832045493116,0.05150942815957664,0.06540235821166812,-3.1252846460439256,0.09409255010381065,0.1169418371390997,-1.0432370411470102,0.1129427666465632,0.1352438238008527,-2.8243811649270802
patch_predictions,full_target,0.08600379874895644,0.1100322529432359,-0.18748296881633192,44,44,0.13694080298203495,0.15737814051082838,-0.08739564796080446,0.1186503528677768,0.1425228185742923,-0.259113397816791,0.06842607425353826,0.08346782067609651,-0.03187470980545859,0.01204019510341233,0.014435496606872007,-0.09236450773808835,0.06542142799454047,0.07310527860933876,0.042003129342967904,0.09020022037808793,0.10643308071967476,-0.7715681195862978,0.11034751766330428,0.12578314993117792,-0.11206752814984955
patch_predictions,patch_target,0.04468382537237466,0.0612460084210168,-0.008369121651116982,44,44,0.06189126115026941,0.07554562109892154,0.021036162618983667,0.0575151787684447,0.0728259558366303,-0.10933787341484202,0.03875714163866744,0.04695483161507185,0.04720485194864743,0.005860087616847062,0.007245627737541893,-0.020819615848963302,0.025018830929894,0.030811600080626386,0.08442145101468279,0.06594006008569452,0.0855089604377853,-0.09245154156589042,0.057804217416805526,0.06876308438268462,0.011362713689564208
oracle_vs_oracle,full_vs_patch_oracle,0.08865881381018163,0.11512007441146613,-0.3773174375662301,44,44,0.13178729148915583,0.15564100294103805,-0.06352281919269376,0.12620289927880413,0.15246635497428868,-0.4409339553595557,0.08119372253553066,0.09727538514713957,-0.4015052785988291,0.012980148815110502,0.01597978835286046,-0.33858566199202267,0.06747921813453991,0.07903264742535436,-0.11964327918637285,0.09729307349770557,0.11879983143915802,-1.2071723100519112,0.10367534292042489,0.12337299555215953,-0.06985875858222479
