branch,dataset_name,backbone,model_family,mae,rmse,r2,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full,primary,handcrafted,ridge,0.0740897666051692,0.1022315089574091,0.0531184037625497,0.1256682407840221,0.1532427152138335,0.0612457332412843,0.1196641511300285,0.1412231045421788,0.061078259165627,0.0622782463123741,0.07565651281196,0.0342512928850395,0.0104809626119521,0.0127386562862782,0.0717747412701227,0.0615109448199141,0.0726865374070993,0.0840347147146184,0.0468473580627444,0.0734377015544622,0.0582651837530526,0.092178462515149,0.1147565462997224,0.0011789013081034
full,primary,handcrafted,mlp,0.0955264776053898,0.1300852825637266,-6.957308485347876,0.1179727986552525,0.1502479990773846,0.0975780688911146,0.1163111528932474,0.1526145891709072,-0.096503419111448,0.0845669301558062,0.1157995984577545,-1.2624844490052052,0.0652916563280171,0.0886697211460774,-43.973514598818575,0.0846105993505087,0.1144244096819599,-1.2699088290728673,0.0842404959697854,0.1145970391954062,-1.293175372527168,0.115691709885111,0.1584054852229269,-0.9031507977909876
full,primary,handcrafted,ensemble,0.0775198653679613,0.1051302795257972,-1.619539634168777,0.1166423175584734,0.1449861990470069,0.1596783045705057,0.1092849377963297,0.1327748340234853,0.1700547937971638,0.0666877569945229,0.0864562492386776,-0.261142834902585,0.0336133053710557,0.0454086013825716,-10.79457765022396,0.0674176306292964,0.0855824702367539,-0.269815688362534,0.0566404384163322,0.0831753505945182,-0.2080356622565133,0.0923526708097188,0.1222184641445631,-0.1329387018035199
full,external_unique,handcrafted,ridge,0.1053369778522041,0.1235683719251909,-5.978744220503211,0.1545019605511065,0.1577758819776085,-0.6969571638861529,0.1736148545286566,0.1864576389977239,-22.883533687712625,0.0586234092637008,0.0708768384830803,-1.2281113795009388,0.0182015668305679,0.0186182754720272,-0.7652030740062588,0.1271179174520374,0.1272502525981176,-15.030051015218284,0.0709847736516655,0.0863595009143703,0.0,0.1343143626876941,0.1349205733307773,-1.2473532231982278
full,external_unique,handcrafted,mlp,0.1470307946230684,0.1837080653528223,-14.533739115453187,0.1736715458614251,0.2107885140580518,-2.02889020712896,0.1565374868616663,0.2033489163814883,-27.40677600324435,0.1077279800497227,0.1103164146247787,-4.397696966762122,0.0572292389049935,0.0582880687130445,-16.30115525326864,0.2013846251874056,0.2069762774708367,-41.40906931701587,0.0360016227566224,0.0373049146851865,0.0,0.2966630627396427,0.3010979028357627,-10.192586060752388
full,external_unique,handcrafted,ensemble,0.1227306165785755,0.1441317281567618,-7.960722190401524,0.1640867532062658,0.1807134417940475,-1.2262327183798232,0.1650761706951614,0.1679426343519818,-18.375822368523817,0.0831756946567118,0.0890459365942766,-2.5168709681327286,0.0266561030200497,0.0268942374202299,-2.6832758078888,0.1642512713197215,0.1655872185899015,-26.143835880863985,0.0403796104384499,0.0409140646998934,0.0,0.2154887127136684,0.2163562859523019,-4.77901758902151
full,primary,resnet,ridge,0.0437689972400679,0.0893890715896873,0.3112650734811554,0.07831407692739,0.1437915328363425,0.1734695195614015,0.0679636465026319,0.1187168548953729,0.3364973657103449,0.0352960474651105,0.0634435004448343,0.3208811744024972,0.0059935644089102,0.0105506238049696,0.3632595809190856,0.0348835929905372,0.0605287035253145,0.3648244145908377,0.0314281580204561,0.0609178965006855,0.3519921420008205,0.0525038943654395,0.098244790244055,0.2679313171831001
full,primary,resnet,mlp,0.1762117729007375,0.2812769987070841,-104.76570788112367,0.1618114686260254,0.2433047630967257,-1.3664289478889629,0.1628535295230513,0.2431044420898397,-1.7822982037826,0.1396436890796521,0.2125799473569291,-6.624582820773354,0.2135779607059618,0.3473739165036856,-689.2406831143828,0.1627001869021973,0.2813815079118209,-12.726574082436104,0.1917674708301012,0.3047256385514495,-15.21468314669882,0.2011281046381737,0.3124550092918756,-6.404704851903117
full,primary,resnet,ensemble,0.0956705549593689,0.1529793448208323,-25.970354329545533,0.0980882190805657,0.1532856367825182,0.0607197904783373,0.0914791577546098,0.1392020682574482,0.087759682482609,0.0757744704153211,0.1150815666155951,-1.2345137251731289,0.1071155691090998,0.1744346143651763,-173.04897971994328,0.0896396180178273,0.1541177304196644,-3.1179044256005994,0.0991843549475748,0.1584608387585151,-3.384644383608417,0.1084124953905837,0.1685578340763683,-1.1549175254542754
full,external_unique,resnet,ridge,0.147896170262233,0.1755503752795103,-13.58795425290058,0.1751955279416372,0.218649226338824,-2.2590088244437245,0.2840925477203442,0.2845582930972974,-54.62636946738916,0.149363417843206,0.1609266239424838,-10.486402298826876,0.0237950691039284,0.0244404216140494,-2.041817531470252,0.1478601970280426,0.1573425269616833,-23.50811106681156,0.0961040132088495,0.0991064502164335,0.0,0.1588624189896231,0.1608451482297059,-2.193970581362477
full,external_unique,resnet,mlp,0.4044235388806,0.473648290832681,-336.6291935064909,0.7041507851447878,0.7518779484965837,-37.53757136575212,0.2731473025565706,0.2865901815437338,-55.42360583911762,0.2312181929092628,0.231346585689951,-22.73856219486424,0.6492570843531345,0.6559313614713236,-2189.950488818732,0.1438725830534356,0.1522858464378294,-21.958139020598654,0.371179445315397,0.4178981603087295,0.0,0.4581393788316118,0.4912713071019002,-28.79598730637154
