parameter,param_range,fl_mae_norm_mean,fl_mae_norm_ci_lo,fl_mae_norm_ci_hi,patch_mae_norm_mean,patch_mae_norm_ci_lo,patch_mae_norm_ci_hi,diff,patch_better
mu,0.5499999999999999,0.1212123484343043,0.0900958506736811,0.1551214654368063,0.3946261271095473,0.3278888368224803,0.4654488674334197,-0.2734137786752429,False
lambda,0.5499999999999999,0.1423589372622572,0.1004369771377421,0.1849647616382596,0.3196919860880176,0.2514727617385951,0.3919368744505499,-0.1773330488257603,False
diffusion_rate,0.3,0.2178962655704129,0.1507685426128746,0.298330042560613,0.3925021797079931,0.3038717579646882,0.4993418928546212,-0.1746059141375802,False
alpha,0.049,0.8921934732759513,0.7046036428678175,1.089192961738099,2.5068503709579937,1.671000693620511,3.425750844274806,-1.6146568976820423,False
beta,0.24,0.2227096577178488,0.16787069556978,0.2786149438554385,0.3954783189163373,0.3137800124166074,0.4856674505594347,-0.1727686611984884,False
gamma,0.5,0.1223670423708178,0.0827429764650084,0.1662233800965953,0.4564164775974033,0.3374851355625485,0.5864748362478249,-0.3340494352265854,False
energy_threshold,55.0,0.1460214047392537,0.1020199192851042,0.1962891351684065,0.9994199384342544,0.906293332245478,1.086834764825411,-0.8533985336950005,False
