q_lo,q_hi,thr_lo,thr_hi,frac_direct,frac_refine,frac_fallback,mean_mae,mean_nmae,mean_runtime_sec,speedup_vs_full,branch
0.3,0.7,5.1061535,5.7189207,0.4,0.3428571428571428,0.2571428571428571,3.1671347363999685,0.5564668337767784,74.33628571428571,3.5042105950948783,full_leaf
0.3,0.8,5.1061535,5.79336,0.4,0.3428571428571428,0.2571428571428571,3.1671347363999685,0.5564668337767784,74.33628571428571,3.5042105950948783,full_leaf
0.3,0.9,5.1061535,5.9067845,0.4,0.4,0.2,3.246997368771099,0.5767881858408778,60.478,4.307186084195906,full_leaf
0.4,0.7,5.3921103,5.7189207,0.6,0.1428571428571428,0.2571428571428571,3.297892736643602,0.683889917422451,71.3382857142857,3.651475464987745,full_leaf
0.4,0.8,5.3921103,5.79336,0.6,0.1428571428571428,0.2571428571428571,3.297892736643602,0.683889917422451,71.3382857142857,3.651475464987745,full_leaf
0.4,0.9,5.3921103,5.9067845,0.6,0.2,0.2,3.3777553690147326,0.7042112694865503,57.48,4.531837160751565,full_leaf
0.5,0.7,5.5744834,5.7189207,0.6857142857142857,0.0571428571428571,0.2571428571428571,3.3601048377086427,0.7709777613506249,70.05342857142857,3.718447552276426,full_leaf
0.5,0.8,5.5744834,5.79336,0.6857142857142857,0.0571428571428571,0.2571428571428571,3.3601048377086427,0.7709777613506249,70.05342857142857,3.718447552276426,full_leaf
0.5,0.9,5.5744834,5.9067845,0.6857142857142857,0.1142857142857142,0.2,3.439967470079773,0.7912991134147241,56.195142857142855,4.63545400466741,full_leaf
0.6,0.7,5.6565576,5.7189207,0.7142857142857143,0.0285714285714285,0.2571428571428571,3.368133898002468,0.7988624905890193,69.62514285714285,3.741320869308296,full_leaf
0.6,0.8,5.6565576,5.79336,0.7142857142857143,0.0285714285714285,0.2571428571428571,3.368133898002468,0.7988624905890193,69.62514285714285,3.741320869308296,full_leaf
0.6,0.9,5.6565576,5.9067845,0.7142857142857143,0.0857142857142857,0.2,3.4479965303735987,0.8191838426531186,55.76685714285715,4.671053979834412,full_leaf
