method,prediction_error_vs_fl,prediction_error_vs_apo,oracle_gap,aggregation_error
mean,0.9062359607139476,0.7749371959825745,0.3267136394011091,0.13129876473137314
robust_median,0.9616837152161684,0.836426941540677,0.3267136394011091,0.12525677367549137
selective_mixture,0.921373176752955,0.7873098754453806,0.3267136394011091,0.1340633013075745
top_k_confident,1.0373676191536358,0.9126549310112316,0.3267136394011091,0.12471268814240422
uncertainty_weighted,0.910928304269913,0.7754906390956386,0.3267136394011091,0.13543766517427436
