parameter,param_range,fl_mae,fl_nmae,pa_mae,pa_nmae,fl_better
mu,0.5499999999999999,0.24799876818219044,0.4509068512403463,0.14007937892658154,0.2546897798665119,False
lambda,0.5499999999999999,0.8616829339305868,1.5666962435101581,0.6425555820334834,1.1682828764245154,False
diffusion_rate,0.3,0.27210136197453866,0.9070045399151289,0.2825671742035975,0.9418905806786584,True
alpha,0.049,0.15847007661619614,3.2340831962489007,0.13167237877695873,2.6871914036114024,False
beta,0.24,0.2503780741182774,1.0432419754928226,0.09394449942253835,0.3914354142605765,False
gamma,0.5,0.2162791078908105,0.432558215781621,0.10964873279427424,0.21929746558854848,False
energy_threshold,55.0,24.41715316772461,0.44394823941317474,43.27535942622593,0.7868247168404715,True
